"filename", "language", "YAML", "JSON", "Dart", "Markdown", "Properties", "Groovy", "Swift", "C++", "Python", "XML", "HTML", "comment", "blank", "total"
"c:\Users\fabri\Documents\archive\stories\lib\services\dialog_service.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Users\fabri\Documents\archive\stories\lib\services\favorites_service.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 52
"c:\Users\fabri\Documents\archive\stories\lib\services\firestore_service.dart", "Dart", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25, 136
"c:\Users\fabri\Documents\archive\stories\lib\services\languages_service.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"c:\Users\fabri\Documents\archive\stories\lib\services\localstorage_service.dart", "Dart", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"c:\Users\fabri\Documents\archive\stories\lib\services\navigation_service.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\fabri\Documents\archive\stories\lib\services\stoppable_service.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\fabri\Documents\archive\stories\lib\utilities\configure_nonweb.dart", "Dart", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4
"c:\Users\fabri\Documents\archive\stories\lib\utilities\configure_web.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\fabri\Documents\archive\stories\lib\utilities\dialog_manager.dart", "Dart", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 83
"c:\Users\fabri\Documents\archive\stories\lib\utilities\lifecycle_manager.dart", "Dart", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 63
"c:\Users\fabri\Documents\archive\stories\pubspec.yaml", "YAML", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 49
"c:\Users\fabri\Documents\archive\stories\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 7, 31
"c:\Users\fabri\Documents\archive\stories\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 17, 9, 122
"c:\Users\fabri\Documents\archive\stories\web\manifest.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"Total", "-", 46, 280, 1993, 4, 8, 105, 12, 1, 95, 136, 96, 356, 470, 3602
